year,Germany,Argentina,Italy,Brazil,France,Spain,England,year_won
1962,,24450604878,50383891899,19926293839,76313782252,16138545209,80601939635,Brazil
1966,,28630474728,73654870011,27062716578,110597000000,28721062242,107091000000,England
1970,215022000000,31584210366,113062000000,42327600098,148949000000,40881655099,130672000000,Brazil
1974,443619000000,72436777342,198979000000,105136000000,286526000000,97009800115,206131000000,Germany
1978,737668000000,58082870156,314133000000,200801000000,508183000000,160163000000,335883000000,Argentina
1982,773638000000,84307486837,426018000000,281682000000,586837000000,195464000000,515049000000,Italy
1986,1042300000000,110934000000,638507000000,268137000000,774556000000,250638000000,601453000000,Argentina
1990,1764970000000,141352000000,1177760000000,461952000000,1275300000000,535101000000,1093170000000,Germany
1994,2205970000000,257440000000,1095990000000,558112000000,1401640000000,529122000000,1140490000000,Brazil
1998,2243230000000,298948000000,1266790000000,863723000000,1510760000000,617042000000,1537100000000,France
2002,2079140000000,97724513456,1267040000000,507963000000,1500340000000,705146000000,1680260000000,Brazil
2006,3002450000000,262667000000,1943530000000,1107640000000,2325010000000,1264550000000,2588080000000,Italy
2010,3417300000000,461640000000,2126750000000,2208870000000,2646990000000,1431670000000,2403500000000,Spain
2014,3868290000000,537660000000,2141160000000,2416640000000,2829190000000,1381340000000,2988890000000,Germany